DATAFLOW,freq,indic_bt,nace_r2,s_adj,unit,Country,Date,Num,OBS_FLAG
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-09,104.1,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-10,108.9,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-11,106.6,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-12,95.2,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2021-01,100.2,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2021-02,101.2,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2021-03,108.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2019-08,90.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2019-09,110.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2019-10,112.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2019-11,110.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2019-12,97.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-01,102,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-02,102.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-03,100.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-04,75.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-05,85.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-06,95.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-07,98.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-08,85.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-09,104.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-10,109.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-11,110.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2020-12,98.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2021-01,102.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2021-02,100.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU27_2020,2021-03,111.4,s
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU28,2019-08,91.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU28,2019-09,109.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU28,2019-10,111.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU28,2019-11,109.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU28,2019-12,98.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EU28,2020-01,101.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,FI,2019-08,109.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,FI,2019-09,117.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,FI,2019-10,118.7,
